Student,LPIPS,SSIM
112590012.png,0.31430402398109436,0.6604780209061198
112590022.png,0.3439091444015503,0.5509869926449726
112590009.png,0.3489479422569275,0.5867318571383838
111332012.png,0.3497842848300934,0.5510235672852951
112590014.png,0.36356431245803833,0.6026939846455741
112590007.png,0.37148112058639526,0.6014994589068657
112590017.png,0.38135460019111633,0.6316864547277848
112590030.png,0.39106976985931396,0.5525379054353912
112590038.png,0.39162272214889526,0.6718338833535444
112590013.png,0.3923622965812683,0.6272645009459008
112590036.png,0.4001850187778473,0.6308687455983115
109810011.png,0.4144439697265625,0.6690822489241776
112590041.png,0.4165414869785309,0.6065991938808907
112590004.png,0.41709157824516296,0.6069691376449167
112590057.png,0.42123180627822876,0.5643965180345606
113378043.png,0.42951348423957825,0.5023585218682061
112590060.png,0.43530774116516113,0.6163262177861066
112590003.png,0.4389653503894806,0.5142557895755402
112590029.png,0.43929848074913025,0.6463651426720672
110590456.png,0.455039918422699,0.580894521839266
112590044.png,0.4680645763874054,0.5707405762398533
112590026.png,0.4735439419746399,0.6254923618406888
112590023.png,0.4809669256210327,0.5816224568842637
112590033.png,0.5024380683898926,0.5978610380574173
112590021.png,0.504439115524292,0.5346409433286492
112590035.png,0.5087442398071289,0.5276326014508673
112590020.png,0.5283990502357483,0.5522098811492094
112590005.png,0.5330895185470581,0.5066824085581579
111820017.jpg,0.5607734322547913,0.5395600140688656
112ab0053.png,0.5630869269371033,0.5779586034581042
112590052.png,0.5645206570625305,0.4319135492995276
112590031.png,0.5839417576789856,0.4286139606938866
112590025.png,0.5882452726364136,0.4459617878158842
112590051.png,0.5896689891815186,0.4556009385334964
110820009.png,0.6071258187294006,0.4716565818880735
112590024.png,0.6407445669174194,0.3852125903756089
112590053.png,0.6461435556411743,0.39773309901547865
112590018.png,0.6668455600738525,0.370146590363055
